CYBLE-012012-10,,,
Pin,Name,Type,Side
1,XRES,in,left
2,P4.0/Cmod,in,left
3,P3.7,inout,left
4,P3.6,inout,left
5,P3.5,inout,left
6,P3.4,inout,left
7,P3.3,inout,left
8,P3.2,inout,left
9,P2.6,inout,left
10,VREF,inout,top
11,P2.4,inout,left
12,P2.3,inout,left
13,P2.2,inout,right
14,P2.0,inout,right
15,VDD,pwr,top
16,P1.7,inout,right
17,P1.6,inout,left
18,P1.5,inout,right
19,P1.4,inout,right
20,P1.0,inout,right
21,P0.4,inout,right
22,P0.5,inout,right
23,P0.7,inout,right
24,P0.6,inout,right
25,GND,pwr,bottom
26,GND,pwr,bottom
27,GND,pwr,bottom
28,GND,pwr,bottom
29,VDDR,pwr,top
30,P5.0,inout,right
31,P5.1,inout,right
