E73-2G4M04S,,,
Pin,Name,Type,Side
0,GND,in,left
1,GND,in,left
2,GND,in,left
3,DEC2,inout,left
4,DEC3,inout,left
5,P0.25,inout,left
6,P0.26,inout,left
7,P0.27,inout,left
8,P0.28,inout,left
9,P0.29,inout,left
10,P0.30,inout,left
11,P0.31,inout,left
12,DEC4,inout,left
13,DCC,inout,left
14,DEC5,inout,left
15,GND,in,left
16,VDD,in,left
17,P0.02,inout,left
18,P0.03,inout,left
19,P0.04,inout,left
20,P0.05,inout,left
21,P0.06,inout,left
22,P0.07,inout,right
23,P0.08,inout,right
24,P0.09,inout,right
25,P0.10,inout,right
26,P0.11,inout,right
27,P0.12,inout,right
28,P0.13,inout,right
29,P0.14,inout,right
30,P0.15,inout,right
31,P0.16,inout,right
32,P0.17,inout,right
33,P0.18,inout,right
34,P0.19,inout,right
35,P0.20,inout,right
36,P0.21,inout,right
37,SWDCLK,in,right
38,SWDIO,inout,right
39,P0.22,inout,right
40,P0.23,inout,right
41,P0.24,inout,right
42,GND,in,right
43,GND,in,right
