H_NRF52832,,,,,,,,,,,,,,,bus.
Pin,Name,Type,Side,,,,,,,,,,,,
1,GND,pwr,bottom,,,,,,,,,,,,
2,P0.28,inout,left,,,,,,,,,,,,
3,P0.29,inout,left,,,,,,,,,,,,
4,P0.30,inout,left,,,,,,,,,,,,
5,VDD,pwr,top,,,,,,,,,,,,
6,P0.01,inout,left,,,,,,,,,,,,
7,P0.00,inout,left,,,,,,,,,,,,
8,P0.05,inout,left,,,,,,,,,,,,
9,P0.06,inout,right,,,,,,,,,,,,
10,P0.08,inout,right,,,,,,,,,,,,
11,P0.15,inout,right,,,,,,,,,,,,
12,P0.18,inout,right,,,,,,,,,,,,
13,P0.21,inout,right,,,,,,,,,,,,
14,SWDIO,inout,right,,,,,,,,,,,,
15,SWCLK,in,right,,,,,,,,,,,,
