NanoPi Duo,,,
Pin,Name,Type,Side
1,DRX,in,left
2,DTX,out,left
3,GND,pwr,bottom
4,SCL,in,left
5,SDA,inout,left
6,CS,in,left
7,CLK,in,left
8,MI,in,left
9,MO,out,left
10,RX1,in,left
11,TX1,out,left
12,CVB,inout,left
13,LOL,out,left
14,LOR,out,left
15,MICP,in,right
16,MICN,in,right
17,SPD,in,right
18,LNK,in,right
19,TD,out,right
20,TD-,out,right
21,RD,in,right
22,RD-,in,right
23,DP2,inout,right
24,DM2,inout,right
25,DP3,inout,right
26,DM3,inout,right
27,IOG11,in,right
28,IRRX,in,right
29,GND,pwr,bottom
30,3V3,pwr,top
31,5Vin,pwr,top
32,5Vin,pwr,top
