Designator,Mid X,Mid Y,Layer,Rotation
C7,140.843,-58.182,B,270
C8,146.431,-47.228,B,90
L1,140.843,-54.118,B,270
R1,181.483,-34.29,B,180
R2,187.452,-40.132,B,180
R3,193.675,-46.355,B,180
R4,199.771,-52.324,B,180
R5,205.613,-58.293,B,180
R6,211.836,-64.389,B,180
R7,205.613,-70.358,B,180
R8,199.644,-76.327,B,180
R9,193.548,-82.423,B,180
R10,187.452,-88.392,B,180
R11,181.61,-94.361,B,180
R12,169.164,-58.801,B,270
R13,169.164,-70.993,B,270
R14,166.624,-94.361,B,180
R15,172.72,-88.392,B,180
R16,178.689,-82.423,B,180
R17,184.912,-76.327,B,180
R18,191.008,-70.358,B,180
R19,196.723,-64.389,B,180
R20,190.754,-58.42,B,180
R21,184.785,-52.324,B,180
R22,178.816,-46.355,B,180
R23,172.72,-40.132,B,180
R24,166.624,-34.29,B,180
R25,154.178,-35.433,B,270
R26,157.861,-40.259,B,180
R27,163.957,-46.355,B,180
R28,169.926,-52.451,B,180
R29,175.768,-58.42,B,180
R30,181.737,-64.389,B,180
R31,175.895,-70.358,B,180
R32,169.799,-76.327,B,180
R33,163.576,-82.423,B,180
R34,157.48,-88.265,B,180
R35,154.305,-93.345,B,90
R36,174.371,-64.389,B,180
R37,132.08,-63.881,B,0
R38,151.892,-93.345,B,90
R39,148.336,-88.265,B,0
R40,142.494,-82.423,B,0
R41,136.144,-76.327,B,0
R42,130.175,-70.358,B,0
R43,124.206,-64.389,B,0
R44,130.175,-58.293,B,0
R45,136.144,-52.324,B,0
R46,142.113,-46.355,B,0
R47,148.209,-40.132,B,0
R48,151.638,-35.433,B,270
R49,137.287,-70.993,B,270
R50,139.319,-94.361,B,0
R51,133.35,-88.392,B,0
R52,127.381,-82.423,B,0
R53,121.158,-76.327,B,0
R54,115.062,-70.231,B,0
R55,109.093,-64.389,B,0
R56,115.189,-58.42,B,0
R57,121.158,-52.451,B,0
R58,127.127,-46.355,B,0
R59,133.096,-40.132,B,0
R60,139.192,-34.29,B,0
R61,137.16,-58.801,B,270
R62,124.333,-94.361,B,0
R63,118.364,-88.392,B,0
R64,112.522,-82.423,B,0
R65,106.045,-76.454,B,0
R66,100.33,-70.358,B,0
R67,94.107,-64.389,B,0
R68,100.076,-58.293,B,0
R69,106.299,-52.324,B,0
R70,112.141,-46.355,B,0
R71,118.237,-40.132,B,0
R72,124.206,-34.29,B,0
Q1,171.958,-58.42,B,180
Q2,172.212,-70.104,B,180
Q3,178.181,-64.389,B,180
Q4,128.016,-64.389,B,0
Q5,134.239,-70.485,B,0
Q6,134.239,-58.293,B,0
